Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
130 250.00 1061.61 27.512502 55.2776 1.92423 10.3628 1.88322 0 14.5291 0.558355 2.63495 0.0147714 0 7.61643 3.90156 0.144612 0.236256 0.905994 0.0101618
131 250.00 1060.61 27.236535 55.4102 1.8911 10.3364 1.88214 0 14.4934 0.564012 2.59294 0.0149211 0 7.58392 3.92129 0.145904 0.23865 0.91504 0.0100467
132 250.00 1059.61 26.967315 55.5412 1.85869 10.3097 1.8811 0 14.4581 0.569643 2.55161 0.01507 0 7.55183 3.94076 0.147189 0.241033 0.924037 0.00993278
133 250.00 1058.61 26.704572 55.6708 1.82698 10.2827 1.88008 0 14.4232 0.575248 2.51097 0.0152183 0 7.52013 3.95998 0.148465 0.243404 0.932987 0.00982004
134 250.00 1057.61 26.448050 55.799 1.79594 10.2555 1.8791 0 14.3885 0.580827 2.47097 0.0153659 0 7.48882 3.97894 0.149733 0.245765 0.941891 0.00970845
135 250.00 1056.61 26.197509 55.9257 1.76556 10.2279 1.87814 0 14.3541 0.586382 2.43162 0.0155128 0 7.45788 3.99766 0.150993 0.248115 0.950751 0.00959795
136 250.00 1055.61 25.952718 56.0512 1.73581 10.2001 1.87721 0 14.32 0.591913 2.39288 0.0156592 0 7.42732 4.01614 0.152246 0.250455 0.959566 0.00948853
137 250.00 1054.61 25.713460 56.1753 1.70668 10.1721 1.8763 0 14.2862 0.59742 2.35476 0.0158049 0 7.39711 4.03439 0.153492 0.252786 0.968338 0.00938013
138 250.00 1053.61 25.479528 56.2981 1.67815 10.1438 1.87542 0 14.2526 0.602905 2.31723 0.01595 0 7.36727 4.05241 0.15473 0.255107 0.977068 0.00927273
139 250.00 1052.61 25.250726 56.4197 1.65019 10.1152 1.87456 0 14.2192 0.608368 2.28027 0.0160945 0 7.33776 4.0702 0.155962 0.257418 0.985756 0.0091663
140 250.00 1051.61 25.026866 56.5402 1.6228 10.0865 1.87372 0 14.1861 0.61381 2.24388 0.0162385 0 7.3086 4.08779 0.157186 0.259721 0.994405 0.00906081
141 250.00 1050.61 24.807773 56.6594 1.59595 10.0576 1.8729 0 14.1532 0.619231 2.20803 0.0163819 0 7.27977 4.10516 0.158404 0.262015 1.00301 0.00895622
