System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
125 250.00 1066.61 29.339473 0.9885690970136922 0.987568 -340064.491728 76.180764 11.060875 40.328088 -202.594432 830.310906 -10.933 0.000 2.655233 2.439033 3.200 n/a n/a
126 250.00 1065.61 29.016523 0.9887394301056487 0.987546 -336492.927157 75.340685 10.952100 39.866322 -208.027131 822.189246 -10.947 0.000 2.652603 2.395611 3.217 n/a n/a
127 250.00 1064.61 28.702298 0.9889037730774246 0.987518 -333016.442577 74.522970 10.846198 39.417140 -213.430626 814.333484 -10.960 0.000 2.650014 2.352526 3.234 n/a n/a
128 250.00 1063.61 28.396418 0.9890623945891420 0.987484 -329630.958230 73.726653 10.743048 38.979994 -218.809731 806.732354 -10.974 0.000 2.647463 2.309807 3.251 n/a n/a
129 250.00 1062.61 28.098527 0.9892155481759676 0.987443 -326332.626577 72.950823 10.642533 38.554367 -224.169063 799.375273 -10.988 0.000 2.644950 2.267479 3.268 n/a n/a
130 250.00 1061.61 27.808285 0.9893634732316445 0.987396 -323117.816126 72.194621 10.544547 38.139773 -229.513057 792.252296 -11.001 0.000 2.642474 2.225567 3.284 n/a n/a
131 250.00 1060.61 27.525376 0.9895063958302068 0.987344 -319983.096600 71.457235 10.448987 37.735751 -234.845987 785.354070 -11.015 0.000 2.640033 2.184093 3.300 n/a n/a
132 250.00 1059.61 27.249497 0.9896445295665003 0.987285 -316925.225249 70.737899 10.355755 37.341868 -240.171979 778.671795 -11.029 0.000 2.637627 2.143076 3.316 n/a n/a
133 250.00 1058.61 26.980363 0.9897780763149817 0.987221 -313941.134263 70.035887 10.264760 36.957713 -245.495029 772.197187 -11.043 0.000 2.635253 2.102535 3.332 n/a n/a
134 250.00 1057.61 26.717706 0.9899072269279998 0.987152 -311027.919159 69.350512 10.175915 36.582897 -250.819015 765.922443 -11.056 0.000 2.632912 2.062486 3.347 n/a n/a
135 250.00 1056.61 26.461270 0.9900321619565438 0.987077 -308182.828062 68.681126 10.089138 36.217051 -256.147709 759.840212 -11.070 0.000 2.630601 2.022942 3.363 n/a n/a
136 250.00 1055.61 26.210814 0.9901530522058299 0.986996 -305403.251818 68.027110 10.004351 35.859829 -261.484795 753.943559 -11.084 0.000 2.628321 1.983918 3.378 n/a n/a
137 250.00 1054.61 25.966108 0.9902700593919334 0.986910 -302686.714838 67.387881 9.921480 35.510897 -266.833872 748.225950 -11.098 0.000 2.626070 1.945423 3.393 n/a n/a
